## Month: Февраль-2025
1,'Воскресенье','Неделя 32-я по Пятидесятнице.Неделя о мытаре и фарисее.Глас 1-й. Прп. Макария Великого, Египетского,свт. Марка Евгеника, архиеп. Эфесского. Беседа в трапезной [RU].','10:30 12:15','Литургия / Беседа'
2,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)','10:00-15:00','Уборка храма'
4,'Среда','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
6,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
7,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
8,'Воскресенье','Неделя 33-я по Пятидесятнице. Неделя о блудном сыне. Глас 2-й. Поминовение усопших. Всех новомучеников и исповедников Церкви Русской. Прпп. Ксенофо́нта Константинопольского, супруги его Марии и сыновей их Арка́дия и Иоа́нна. Беседа в трапезной [RU].','10:30 12:15','Литургия / Беседа'
9,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)','10:00-15:00','Уборка храма'
11,'Среда','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
13,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
14,'Суббота','Канун воскресного дня.Вселенская родительская (мясопустная) суббота. Поминовение усопших.**Предпразднство Сретенья Господня**','14:00 17:30','Панихида / Всенощное бдение'
15,'Воскресенье','Неделя мясопустная, о Страшном Суде. Глас 3-й.**СРЕТЕНЬЕ ГОСПОДА БОГА И СПАСА НАШЕГО, ИИСУСА ХРИСТА.**Беседа в трапезной [NL].','10:30','Литургия'
16,'Понедельник','**Седьмица сырная, сплошная. Масленница**Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)','10:00-15:00','Уборка храма'
18,'Среда','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
20,'Пятница','Храм Александра Невского открыт для молитвы.','11:00','Храм открыт'
21,'Суббота','Мясопустная родительская суббота. Канун воскресного дня.','14:00 17:30','Панихида / Всенощное бдение'
22,'Воскресенье','Неделя сыропустная. Воспоминание Адамова изгнания. Прощеное воскресенье. Глас 4-й. Беседа в трапезной [RU].','10:30 12:15','Литургия / Беседа'
# TitleBold: ВЕЛИКИЙ ПОСТ С 23 ФЕВРАЛЯ ПО 4 АПРЕЛЯ.
23,'Понедельник','**Седмица 1-я Великого поста.**Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий).**Великий канон Андрея Критского. День 1-й.**','10:00-15:00 18:30','Уборка храма / Канон'
24,'Вторник','**Великий канон Андрея Критского. День 2-й.**','18:30','Канон'
25,'Среда','Храм Александра Невского открыт для молитвы.**Великий канон Андрея Критского. День 3-й.**','11:00-15:00 18:30','Храм открыт / Канон'
26,'Четверг','**Великий канон Андрея Критского. День 4-й.**','18:30','Канон'
27,'Пятница','Храм Александра Невского открыт для молитвы.Поминовение преставления отца-строителя храма Александра Невского, протоиерея Григория Красноцветова. (27.02.2017)','11:00-15:00 16:00','Храм открыт / Панихида'
28,'Суббота','Канун воскресного дня.','17:30','Всенощное бдение'
## Month: Март-2025
1,'Воскресенье','**Неделя 1-я Великого поста. Торжество Православия.**Глас 5-ый.Беседа в трапезной [NL].','10:30 12:15','Литургия / Беседа'
2,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00','Уборка'
4,'Среда','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
6,'Пятница','Храм Александра Невского открыт для молитвы.**Литургия Преждеосвященных Даров.**','11:00-15:00 18:30','Храм открыт / Литургия'
7,'Суббота','Канун воскресного дня. Обретение мощей Блаженной Матроны Московской.','17:30','Всенощное бдение'
8,'Воскресенье','**Неделя 2-я Великого поста.**Глас 6-ый.**Святителя Григория Паламы.**Беседа в трапезной [RU].','10:30 12:15','Литургия Василия Великого / Беседа'
9,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00','Уборка'
11,'Среда','Храм Александра Невского открыт для молитвы.**Литургия Преждеосвященных Даров.**','11:00-15:00 18:30','Храм открыт / Литургия'
13,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
14,'Суббота','**Поминовение усопших.**Канун воскресного дня.','14:00 17:30','Панихида / Всенощное бдение'
15,'Воскресенье','**Неделя 3-я Великого поста.**Глас 7-ый**Крестопоклонная.**Беседа в трапезной [NL]','10:30 12:15','Литургия Василия Великого / Беседа'
16,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза.','10:00-15:00','Уборка'
18,'Среда','Храм Александра Невского открыт для молитвы.**Литургия Преждеосвященных Даров.**','11:00-15:00 18:30','Храм открыт / Литургия'
20,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
21,'Суббота','Канун воскресного дня.','нет служб','нет служб'
22,'Воскресенье','**Неделя 4-я Великого поста. Прп. Иоанна Лествичника. День памяти сорока севастийских мучеников.**Глас 8-ый.','10:30','Литургия В.Великого'
23,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза.','10:00-15:00','Уборка'
25,'Среда','Храм Александра Невского открыт для молитвы.**Мариино Стояние. Утреня с чтением Канона Андрея Критского и жития Марии Египетской.**','11:00-15:00 18:30','Храм открыт / Утреня'
27,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
28,'Суббота','Канун воскресного дня.Глас 8-ый.**Акафиста. Похвала Пресвятой Богородицы.**','17:30','Всенощное бдение'
29,'Воскресенье','**Неделя 5-я Великого поста. Прп. Марии Египетской .**Глас 1-ый.Беседа в трапезной [RU].','10:30 12:15','Литургия Василия Великого / Беседа'
30,'Понедельник','Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)','10:00-15:00','Уборка'
## Month: Апрель-2025
1,'Среда','Храм Александра Невского открыт для молитвы.**Литургия Преждеосвященных Даров**','11:00-15:00 18:30','Храм открыт / Литургия'
3,'Пятница','Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
4,'Суббота','**Воскрешение Праведного Лазаря. Лазарева Суббота.**','10:30','Литургия'
5,'Воскресенье','**Вход Господень в Иерусалим. Вербное воскресенье.**','10:30','Литургия'
6,'Великий Понедельник','**Страстная седмица. Генеральная пред-Пасхальная уборка в храме.**Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о.Анатолий)','10:00-15:00','Уборка храма'
7,'Великий Вторник','**Страстная седмица. БЛАГОВЕЩЕНИЕ ПРЕСВЯТОЙ БОГОРОДИЦЫ**.','10:30','Литургия'
8,'Великая Среда','**Страстная седмица.**Храм Александра Невского открыт для молитвы.**Соборование.**','11:00-15:00 18:30','Храм открыт / Соборование'
9,'Великий Четверток','**Страстная седмица. Воспоминание Тайной Вечери. Утреня с чтением 12-ти Евангелий.**','9:30 / 18:30','Литургия / Утреня'
10,'Великий Пяток','**Страстная седмица.**Храм Александра Невского открыт для молитвы.','11:00-15:00','Храм открыт'
11,'Великая Суббота','**Литургия св. Василия Великого с чтением 15-ти паремий. После Литургии приблизительно с 12:30 и до 15:00 – освящение яиц, куличей, пасх и мясных продуктов!**','9:30 / 12:30-15:00','Литургия / Освящение куличей и снеди'
# TitleBold: Вечером,11 апреля, храм откроется в 22.00 !!!
