## Month: Maart-2026
1,'Zondag','[b:De eerste zondag van de Grote Vasten.][b,i:Zondag van de Triomf van de Orthodoxie.][br][i:5e toon.]','10:30','Liturgie'
2,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Een gezamenlijke maaltijd en een spreekuur met de priester (v. Anatoli).]','10:00-15:00','Schoonmaak'
4,'Woensdag','[i:De kerk van Alexander Nevski is geopend.]','11:00-15:00','Open'
6,'Vrijdag','[i:De kerk van Alexander Nevski is geopend.]','11:00-15:00','Open'
7,'Zaterdag','[b:Dodenherdenking.][br]Vooravond van zondag.','14:00[br]17:30','Panachida[br]Vigilie'
8,'Zondag','[b:De tweede zondag van de Grote Vasten. Herdenken van de hl. Gregorius Palamas.][i:6e toon.]','10:30','Liturgie'
9,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Een gezamenlijke maaltijd en een spreekuur met de priester (v. Anatoli).]','10:00-15:00','Schoonmaak'
11,'Woensdag','[i:De kerk van Alexander Nevski is geopend.][br][b:Liturgie van de Vooraf Gewijde Gaven.]','11:00-15:00[br]18:30','Open[br]Liturgie'
13,'Vrijdag','[i:De kerk van Alexander Nevski is geopend.]','11:00-15:00','Open'
14,'Zaterdag','Vooravond van zondag.','17:30','Vigilie'
15,'Zondag','[b:De derde zondag van de Grote Vasten.][i:7e toon.]','10:30','Liturgie'
16,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Een gezamenlijke maaltijd.]','10:00-15:00','Schoonmaak'
18,'Woensdag','[i:De kerk van Alexander Nevski is geopend.][br][b:Liturgie van de Vooraf Gewijde Gaven.]','11:00-15:00[br]18:30','Open[br]Liturgie'
20,'Vrijdag','[i:De kerk van Alexander Nevski is geopend.]','11:00-15:00','Open'
21,'Zaterdag','Vooravond van zondag.','geen diensten','geen diensten'
22,'Zondag','[b:De vierde zondag van de Grote Vasten.][i:8e toon.][br][b:De Kruisverering week.][br][b:Herdenking van de 40 martelaren in Sevastie.]','10:30','Liturgie'
23,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Een gezamenlijke maaltijd en een spreekuur met de priester (v. Anatoli).]','10:00-15:00','Schoonmaak'
25,'Woensdag','[i:De kerk van Alexander Nevski is geopend.][br][b:Liturgie van de Vooraf Gewijde Gaven.]','11:00-15:00[br]18:30','Open[br]Liturgie'
26,'Donderdag','[b:Metten met de Kanon van Andreas van Kreta met lezing over Maria van Egypte.]','18:30','Metten'
27,'Vrijdag','[i:De kerk van Alexander Nevski is geopend]','11:00-15:00','Open'
28,'Zaterdag','Vooravond van zondag.','17:30','Vigilie'
29,'Zondag','[b:De vijfde zondag van de Grote Vasten.][i:1e toon.][i,b:Maria van Egypte.]','10:30','Liturgie'
30,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Een gezamenlijke maaltijd en een spreekuur met de priester (v. Anatoli).]','10:00-15:00','Schoonmaak'
## Month: April-2026
1,'Woensdag','[i:De kerk van Alexander Nevski is geopend voor gebed.][br][b:Liturgie v.d. Vooraf Gewijde Gaven.]','11:00-15:00[br]18:30','Open[br]Liturgie'
3,'Vrijdag','[i:De kerk van Alexander Nevski is geopend voor gebed.]','11:00-15:00','Open'
'[b,green:4]','[b,green:Zaterdag]','[b,green:Vooravond van zondag.][br][b,green:Lazarus Zaterdag, (][b,green,i:herdenking van de opstanding van de Rechtgelovige Lazarus door Jezus Christus][b,green:)]','[b,green:10:30]','[b,green:Liturgie]'
'[b,green:5]','[b,green:Zondag]','[b,green:Palmzondag. De zesde zondag v.d. Grote Vasten, de Intocht van de Here in Jeruzalem.][b,i,green:1e toon.]','[b,green:10:30]','[b,green:Liturgie]'
'[b,green:6]','[b,green:De Grote Maandag]','[b,i,red:Het GROTE schoonmaken in de kerk voor Pasen.][br][i:Iedereen is welkom met helpen. Gezamenlijke lunch en het spreekuur met de priester (v.Anatoli).]','10:00-15:00','[b,red:Grote schoonmaak]'
'[b,green:7]','[b,green:De Grote Dinsdag]','[b,blue:AANKONDIGING VAN DE ALHEILIGE MOEDER GODS(MARIA BODSCHAP).]','10:30','[b:Liturgie]'
'[b,green:8]','[b,green:De Grote Woensdag]','[i:De kerk van Alexander Nevski is geopend voor gebed.][br][b:Liturgie v.d. Vooraf Gewijde Gaven.]','11:00-15:00[br]18:30','Open[br]Liturgie'
'[b,green:10]','[b,green:De Goede Vrijdag]','[i,green:Vespers met het uitdragen v.d. Here Lijkwade en Metten met de Graflegging.]','15:30[br]18:30','Vespers[br]Metten'
'[b,red:11]','[b,red:De Grote Zaterdag]','[b,red:Liturgie v.hl. Basilios de Grote m.d.lezing v.d.15 gelijkenissen.][br][i:Na de afloop v.d. Liturgie rond 12.30 en t/m 15.00 worden alle meegebrachte spijzen (eieren, paasbroden, vleeswaren, gewijd!)]','[red:9:30][br][red:12:30-15:00]','[red:Liturgie][br][red:Eieren wijding]'
'','','[b,red:11 april, in de avond, OPENT DE KERK OM 22.00!!!]','[b,red:22:00]','[b,red:De kerk gaat open]'
'','','[b,red:Lezing v.d. Handelingen v.d. Heilige Apostelen]','[b,red:22:30]','[b,red:Paasfeest]'
'','','[b,red:Middernachtdienst]','[b,red:23:30]','[b,red:Paasfeest]'
'','','[b,red:Kruis Processie]','[b,red:23:45]','[b,red:Paasfeest]'
'','','[b,red:Pasen Metten]','[b,red:00:00]','[b,red:Paasfeest]'
