## Month: Март-2026
1,'Воскресенье','[b:Неделя 1-я Великого поста. ][b,i,red:Торжество Православия. ][i:Глас 5-ый.]','10:30','Литургия'
2,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)]','10:00-15:00','Уборка'
4,'Среда','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
6,'Пятница','[i:Храм Александра Невского открыт для молитвы.][br][b:Литургия Преждеосвященных Даров.]','11:00-15:00[br]18:30','Храм открыт[br]Литургия'
7,'Суббота','Канун воскресного дня. Обретение мощей Блаженной Матроны Московской.','17:30','Всенощное бдение'
8,'Воскресенье','[b:Неделя 2-я Великого поста.][i:Глас 6-ый.][br][b:Святителя Григория Паламы.]','10:30[br]14:00','Литургия Василия Великого[br]Крещение'
9,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)]','10:00-15:00','Уборка'
11,'Среда','[i:Храм Александра Невского открыт для молитвы.][br][b:Литургия Преждеосвященных Даров.]','11:00-15:00[br]18:30','Храм открыт[br]Литургия'
13,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
14,'Суббота','[b:Поминовение усопших.][br]Канун воскресного дня.','14:00[br]17:30','[b:Панихида][br]Всенощное бдение'
15,'Воскресенье','[b:Неделя 3-я Великого поста.][i:Глас 7-ый][br][b:Крестопоклонная.]','10:30[br]14:00','Литургия Василия Великого[br]Крещение'
16,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза.]','10:00-15:00','Уборка'
18,'Среда','[i:Храм Александра Невского открыт для молитвы.][br][b:Литургия Преждеосвященных Даров.]','11:00-15:00[br]18:30','Храм открыт[br]Литургия'
20,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
21,'Суббота','Канун воскресного дня.','нет служб','нет служб'
22,'Воскресенье','[b:Неделя 4-я Великого поста.Крестопоклонная. День памяти сорока севастийских мучеников. ][i:Глас 8-ый.]','10:30','Литургия В.Великого'
23,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза.]','10:00-15:00','Уборка'
25,'Среда','[i:Храм Александра Невского открыт для молитвы.][br][b:Литургия Преждеосвященных Даров.]','11:00-15:00[br]18:30','Храм открыт[br]Литургия'
26,'Четверг','[b,red:Мариино Стояние. Утреня с чтением Канона Андрея Критского и жития Марии Египетской.]','18:30','Утреня'
27,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
28,'Суббота','Канун воскресного дня.[i:Глас 8-ый.][b,blue:Акафиста. Похвала Пресвятой Богородицы.]','17:30','Всенощное бдение'
29,'Воскресенье','[b:Неделя 5-я Великого поста. ][b,i:Прп. Марии Египетской.][i:Глас 1-ый]','10:30','Литургия Василия Великого'
30,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о.Анатолий)]','10:00-15:00','Уборка'
## Month: Апрель-2026
1,'Среда','[i:Храм Александра Невского открыт для молитвы.][br][b:Литургия Преждеосвященных Даров]','11:00-15:00[br]18:30','Храм открыт[br]Литургия'
3,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
'[b,green:4]','[b,green:Суббота]','[b,green,i:Воскрешение Праведного Лазаря. Лазарева Суббота.]','[b,green:10:30]','[b,green:Литургия]'
'[b,green:5]','[b,green:Воскресенье]','[b,green:Вход Господень в Иерусалим. Вербное воскресенье.]','[b,green:10:30]','[b,green:Литургия]'
'[b,green:6]','[b,green:Великий Понедельник]','[b,green,i:Страстная седмица.][br][b,i,red:Генеральная пред-Пасхальная уборка в храме. ][br][b,green,i:Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','[b,green:10:00-15:00]','[b,green:Уборка храма]'
'[b,blue:7]','[b,blue:Великий Вторник]','[b,green,i:Страстная седмица.][br][b,blue:БЛАГОВЕЩЕНИЕ ПРЕСВЯТОЙ БОГОРОДИЦЫ].','[b,blue:10:30]','[b,blue:Литургия]'
'[b,green:8]','[b,green:Великая ][br][b,green:Среда]','[b,green,i:Страстная седмица.][br][b,green,i:Храм Александра Невского открыт для молитвы.][br][b,green:Соборование.]','[b,green:11:00-15:00][br][b,green:18:30 ]','[b,green:Храм открыт][br][b,green:Соборование]'
'[b,green:9]','[b,green:Великий Четверток]','[b,green,i:Страстная седмица.][br][b,green,i:Воспоминание Тайной Вечери.][br][b,green,i:Утреня с чтением 12-ти Евангелий.]','[b,green:9:30][br][b,green:18:30 ]','[b,green:Литургия][br][b,green:Утреня]'
'[green:10]','[b,green:Великий Пяток]','[b,green,i:Страстная седмица.][br][b,green,i:Вечерня Великой Субботы с выносом Плащаницы ][br][b,green,i:и Утреня с чином Погребения.]','[green:15:30][br][green:18:30]','[green:Вечерня ][br][green:Утреня]'
'[b,green:11]','[b,green:Великая Суббота]','[b,i:Литургия св. Василия Великого с чтением 15-ти паремий.][br][b:После Литургии приблизительно с 12:30 и до 15:00 – освящение яиц, куличей, пасх и мясных продуктов!]','[b,green:9:30][br][b:12:30-15:00]','[b,green:Литургия][br][b:Освящение куличей и снеди]'
'','','[b,i,red:Вечером,11 апреля, храм откроется в 22.00 !!!]','',''
'','','[b,red:Начало чтения книги Деяний святых апостолов]','[b,red:22:30]',''
'','','[b,red:Полунощница]','[b,red:23:30]',''
'','','[b,red:Крестный ход]','[b,red:23:45]',''
'','','[b,red:Пасхальная утреня]','[b,red:00:00]',''
'','','[b,red:Пасхальная Литургия]','[b,red:по окончании утрени]',''
'[b,red:12]','[b,red:Воскресенье][br][b,red:Христово]','[b,i,red:Пасха Христова! ][br][b,i,red,x2:ХРИСТОС ВОСКРЕСЕ! ВОИСТИНУ ВОСКРЕСE ХРИСТОС!]','',''
'','-:-','[b:Примерно в 01:30, после Пасхальной Литургии будет совершено освящение яиц, куличей, пасх и мясных продуктов. ][br][b:Утром, 12 апреля, в 12:00, 13:00, 14:00 и 15:00 будет совершено освящение яиц, куличей, пасх и мясных продуктов. В 16.00 храм закроется!]','','-:-'
'[red:13]','[red:Понедельник ]','[b,i,red:Христос Воскресе!][br][i,red:Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','[red:10:00-15:00]','[red:Уборка храма]'
'[red:15]','[red:Среда]','[b,i,red:Христос Воскресе!][br][i,red:Храм Александра Невского открыт для молитвы.]','[red:11:00-15:00]','[red:Храм открыт]'
'[b,red:17]','[b,red:Пятница ]','[b,i,red:Христос Воскресе!][br][b,i,red:Храм Александра Невского открыт для молитвы.]','[b,red:11:00-15:00]','[b,red:Храм открыт]'
'[b,red:18]','[b,red:Суббота ]','[b,i,red:Христос Воскресе!][br][b,red:Канун воскресного дня.]','[b,red:17:30]','[b,red:Всенощное Бдение ]'
