## Month: Augustus-2026
1,'Zaterdag','[b,i:Eerbiedwaardige vader Serafim van Sarov.]Vooravond van zondag.','','geen diensten'
2,'Zondag','9e zondag na Pinksteren. 8e toon.','9:50[br]10:30[br]14:00','Biecht (tot de Evangelie lezing)[br]Liturgie[br]Doop'
3,'Maandag','[i:Schoonmaakbeurt v.d. kerk. Iedereen is welkom. Gezamenlijke maaltijd.]','10:00-15:00','Schoonmaak'
'4Â','DinsdagÂ','De dag van de Heilige Myron draagster Maria Magdalena.','','geen diensten'
5,'Woensdag','[i:De kerk is geopend voor gebed.]','11:00-15:00','Kerk open'
7,'Vrijdag','[i:De kerk is geopend voor gebed.]','11:00-15:00','Kerk open'
8,'Zaterdag','Vooravond van zondag. Naamdag van de Grote Martelaar en genezer Heilige Panthelemonos.','','geen diensten'
9,'Zondag','10e zondag na Pinksteren. 1e toon.','9:50[br]10:30[br]14:00','Biecht (tot de Evangelie lezing)[br]Liturgie[br]Doop'
10,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd. Spreekuur m.d.priester (v.Anatoli).]','10:00-15:00','Schoonmaak'
12,'Woensdag','[i:De kerk is geopend voor gebed.]','11:00-15:00','Kerk open'
14,'Vrijdag','Het begin van de «Moeder Gods -Vasten» (Ontslapen vasten).[br][i:De kerk is geopend voor gebed.]','11:00-15:00[br]15:00','Kerk open[br]Biecht'
15,'Zaterdag','Vooravond van zondag.','15:00[br]16:30','Biecht[br]Moleben'
16,'Zondag','11e zondag na Pinksteren 2e toon. Ontslapen vasten.[br]Voorfeest van Transfiguratie op de Thabor berg.','9:50[br]10:30[br]14:00','Biecht (tot de Evangelie lezing)[br]Liturgie[br]Doop'
17,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd. Spreekuur m.d.priester (v. Anatoli).]','10:00-15:00','Kerk open'
'[b,red:19]','[b,red:Woensdag]','[b,red:Transfiguratie van de Here God en onze Verlosser Jezus Christus.]','[b,red:10:30]','[b,red:Liturgie]'
21,'Vrijdag','[i:De kerk is geopend voor gebed.]','11:00-15:00','Kerk open'
22,'Zaterdag','Vooravond van zondag.','15:00[br]17:30','Biecht[br]Vigilie'
23,'Zondag','12e zondag na Pinksteren. 3e toon. Ontslapen vasten.[br][i:Nafeest van Transfiguratie van de Here God op de Tabor. Alle heiligen van Valaam en Kemerovo.]','9:50[br]10:30','Biecht (tot de Evangelie lezing)[br]Liturgie'
24,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd. Spreekuur m.d.priester (v. Anatoli).]','10:00-15:00','Schoonmaak'
26,'Woensdag','[i:De kerk is geopend voor gebed.]','11:00-15:00','Kerk open'
'[b,blue:28]','[b,blue:Vrijdag]','[b,blue:Ontslapen van onze Allerheiligste Vrouwe Moeder Gods en Altijd Maagd Maria.]','[b,blue:10:30]','[b,blue:Liturgie]'
29,'Zaterdag','Vooravond van zondag.','','geen diensten'
30,'Zondag','13e zondag na Pinksteren. 4e toon.','9:50[br]10:30','Biecht (tot de Evangelie lezing)[br]Liturgie'
31,'Maandag','[i:Schoonmaakbeurt v.d.kerk. Iedereen is welkom. Gezamenlijke maaltijd. Spreekuur m.d.priester (v. Anatoli).]','10:00-15:00','Schoonmaak'
