## Month: Август-2026
1,'Суббота','Канун воскресного дня.[br][b,i:С 1 по 8 августа детский православный лагерь в][b,i:s][b,i:´][b,i:Gravenzande][b,i:, "][b,i:Staalduinen][b,i:",][b,i:NL][b,i:.]','','нет служб'
2,'Воскресенье','Неделя 9 по Пятидесятнице. Глас 8.[br][b:Пророка Илии.]','9:50[br]10:30','Исповедь (до чтения Евангелия)[br]Литургия'
3,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о. Анатолий)]','10:00-15:00','Уборка храма'
4,'Вторник','[b:Равноапостольной Марии Магдалины-мироносицы.]','','Престольный праздник в Гааге'
5,'Среда','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
7,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
8,'Суббота','Канун воскресного дня.','15:00[br]17:30','Исповедь[br]Молебен с акафистом'
9,'Воскресенье','Неделя 10-я по Пятидесятнице. Глас 1-й.[br][b:Вмч. и целитиля, Пантелеимона.]','9:50[br]10:30[br]14:00','Исповедь (до чтения Евангелия)[br]Литургия[br]Крещение'
10,'Понедельник','[b:Смоленской иконы Божьей Матери, "Одигитрия".][br][i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о. Анатолий)]','10:00-15:00','Уборка храма'
12,'Среда','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
14,'Пятница','[b,red:Происхождение (изнесение) честных древ Животворящего Креста Господня.][br][b:Начало Успенского поста.]','9:50[br]10:30','Исповедь(до чтения Евангелия)[br]Литургия'
15,'Суббота','Канун воскресного дня.','15:00','Исповедь'
16,'Воскресенье','Неделя 11-я по Пятидесятнице. Глас 2-й.Успенский пост.','10:30[br]14:00','Литургия[br]Крещение'
17,'Понедельник','[red:Предпразднство Преображения Господня.][br][i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о. Анатолий)]','10:00-15:00','Уборка храма'
'[b,red:19]','[b,red:Среда]','[b,red:Преображение Господа Бога и Спаса нашего, Иисуса Христа.][b,i:Освящение плодов нового урожая.]','[b,red:10:30]','[b,red:Литургия]'
21,'Пятница','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00[br]15:00','Храм открыт[br]Исповедь'
22,'Суббота','Канун воскресного дня.','17:30[br]15:00','Всенощное бдение[br]Исповедь'
23,'Воскресенье','Неделя 12-я по Пятидесятнице. Глас 3-й. Успенский пост.[br][i,red:Попразднство Преображения Господня.]','9:50[br]10:30[br]14:00','Исповедь(до чтения Евангелия)[br]Литургия[br]Крещение'
24,'Понедельник','[i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.(о. Анатолий)]','10:00-15:00','Уборка храма'
26,'Среда','[i:Храм Александра Невского открыт для молитвы.]','11:00-15:00','Храм открыт'
'[b:28]','[b:Пятница]','[b:Успение Пресвятой Владычицы нашей Богородицы и Приснодевы Марии]','[b:10:30]','[b:Литургия]'
29,'Суббота','Канун воскресного дня.','','нет служб'
30,'Воскресенье','Неделя 12-я по Пятидесятнице. Глас 3-й.[br][b,blue:Иконы Божьей Матери, "Прибавление ума".][br]Благословение на начало учебного года.','9:50[br]10:30[br]12:00','Исповедь(до чтения Евангелия)[br]Литургия[br]Молитва на начало учения'
31,'Понедельник','[i:Уборка в храме. Приходите все желающие.]','10:00-15:00','Уборка храма'
