## Month: Juli-2026
1,'Woensdag','Petrus vasten.De kerk is geopend voor gebed.','11:00-15:00','Open'
3,'Vrijdag','Petrus vasten.De kerk is geopend voor gebed.','11:00-15:00[br]15:00','Open[br]Biecht'
4,'Zaterdag','Vooravond van zondag.','','geen diensten'
5,'Zondag','5e zondag na Pinksteren. 4e toon. Petrus vasten.','10:30','Liturgie'
6,'Maandag','[b,i:Icoon van de Moeder Gods, "Vladimirskaja"][br][i:Het schoonmaken in de kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d. priester ( v.Anatoli).]','10:00-15:00','Schoonmaak'
7,'Dinsdag','[b,i:Geboorte van Johannes de Voorloper Profeet en de Doper van de Heer.]','','geen diensten'
8,'Woensdag','Petrus vasten.De kerk is geopend voor gebed.','11:00-15:00','Open'
10,'Vrijdag','Petrus vasten.De kerk is geopend voor gebed.','11:00-15:00[br]15:00','Open'
11,'Zaterdag','Vooravond van zondag.','15:00[br]17:30','Biecht[br]Vigilie'
12,'Zondag','6e zondag na Pinksteren 5e toon.[br][b,i:Heilige Eersttronenden Apostelen, Petrus en Paulus.]','10:30','Liturgie'
13,'Maandag','[b,i:Verering van de glorieuze en alles prijzenswaardige 12 apostelen.][br][i:Het schoonmaken in de kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d.priester ( v.Anatoli).]','10:00-15:00','Schoonmaken'
15,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
17,'Vrijdag','De kerk is geopend voor gebed','11:00-15:00[br]15:00','Open[br]Biecht'
18,'Zaterdag','Vooravond van zondag.','15:00','Biecht'
19,'Zondag','7e zondag na Pinksteren. 6e toon. Geen vasten.','10:30','Liturgie'
20,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d.priester (v. Anatoli).]','10:00-15:00','Schoonmaken'
21,'Dinsdag','[b,i:De verschijning van heilige icoon van de Allerheiligste Moeder Gods in de stad Kazan (1579).]','','geen diensten'
22,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
24,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00[br]15:00','Open[br]Biecht'
25,'Zaterdag','Vooravond van zondag.','17:30','Vigilie'
26,'Zondag','8е zondag na Pinksteren.7e toon. Geen vasten.[br][b,i:Herdenking van de heilige vaders van de zes Wereldse Concilies.]','9:50[br]10:30','Biecht(tot de Evangelielezing)[br]Liturgie'
27,'Maandag','[i:Het schoonmaken in de kerk. Iedereen is welkom. Gezamenlijke maaltijd en spreekuur m.d.priester ( v.Anatoli).]','10:30-15:00','[i:Schoonmaken]'
29,'Woensdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
31,'Vrijdag','De kerk is geopend voor gebed.','11:00-15:00','Open'
