## Month: Июнь-2026
1,'Понедельник','[b,i,red:День Святаго Духа.][br][i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником.][br][i:(о. Анатолий).]','10:00-15:00','[i:Уборка храма]'
3,'Среда','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
5,'Пятница','Храм открыт для молитвы.','11:00-15:00','Храм открыт'
6,'Суббота','Канун воскресного дня.[i:Отдание праздника Пятидесятницы.]','17:30','Всенощное бдение'
7,'Воскресенье','[b,i:Неделя 1-я по Пятидесятнице, Всех святых.][i:Глас 8-й.][i,b:Заговенье на Петров пост]','10:30[br]14:00[br]15:00','Литургия[br]Венчание[br]Крещение'
8,'Понедельник','[i:Начало Петрова поста.][br][i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза.]','10:00-15:00','[i:Уборка храма]'
10,'Среда','Петров пост. Храм открыт для молитвы.','11:00-15:00','Храм открыт'
12,'Пятница','Петров пост. Храм открыт для молитвы.','11:00-15:00','Храм открыт'
13,'Суббота','Петров пост. Канун воскресного дня.','','нет служб'
14,'Воскресенье','Неделя 2-я по Пятидесятнице. Глас 1-й. Петров пост.[b,i:Всех святых в земле Русской просиявших.]','10:30[br]14:00','Литургия[br]Крещение'
15,'Понедельник','[i:Петров пост.][br][i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','10:30-15:00[br]14:00','[i:Уборка храма][br]Панихида'
17,'Среда','Петров пост. Храм открыт для молитвы.','11:00-15:00','Храм открыт'
19,'Пятница','Петров пост. Храм открыт для молитвы.','11:00-15:00','Храм открыт'
20,'Суббота','Петров пост. Канун воскресного дня.','15:00[br]17:30','Исповедь[br]Всенощное бдение'
21,'Воскресенье','Неделя 3-я по Пятидесятнице. Глас 2-й.[i:Петров пост.]','10:30','Литургия'
22,'Понедельник','[i:Петров пост.][br][i:Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','10:30-15:00','[i:Уборка храма]'
24,'Среда','Петров пост. Храм открыт для молитвы.','11:00-15:00','Храм открыт'
26,'Пятница','Петров пост. Храм открыт для молитвы.','11:00-15:00[br]15:00','Храм открыт[br]Исповедь'
27,'Суббота','Петров пост. Канун воскресного дня.','15:00[br]17:30','Исповедь[br]Всенощное бдение'
28,'Воскресенье','Неделя 4-я по Пятидесятнице. Глас 3-ый. Вмч.Фёдора Странилата. Петров пост.','10:30[br]14:00','Литургия[br][b,i:Просмотр фильма переносится на сл.воскресенье.][br]Крещение'
29,'Понедельник','[i:Петров пост. Уборка в храме. Приходите все желающие. После уборки совместная трапеза и беседа со священником. (о. Анатолий)]','10:30-15:00','[i:Уборка храма]'
