## Month: September-2026
1,'Maandag','Schoonmaak dag in de kerk. Iedereen is welkom. Gezamenlijke maaltijd.Spreekuur met de priester ( v. Anatoli).','10:00-15:00','Schoonmaak'
1,'Woensdag','De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00','Kerk open'
4,'Vrijdag','De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00[br]15:00','Kerk open[br]Biecht'
5,'Zaterdag','Vooravond van zondag.','17:30','Geen dinsten'
6,'Zondag','13e zondag na Pinksteren. 4e toon. Apost. Bartholomeus, apost. Titus van de 70. Alle Moskou heiligen.','9:50[br]10:30','Biecht(tot de Evangelie lezing)[br]Liturgie'
7,'Maandag','Schoonmaak dag in de kerk. Iedereen is welkom. Gezamenlijke maaltijd.','10:00-15:00','Schoonmaak'
9,'Woensdag','De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00','Kerk open'
11,'Vrijdag','[b,red:Herdenking onthoofding van de Johannes de Voorloper en de Doper van de Heere.][br]De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00[br]15:00','Kerk open[br]Biecht'
12,'Zaterdag','Vooravond van zondag.[br][b,red:Herdenking reliekenverplaatsing van de Grote Vorst Aleksandr Nevski . Parochiefeest.]','10:30','Liturgie + parochiefeest'
13,'Zondag','15e zondag na Pinksteren. 6e toon. Begin van de kerkelijke jaarkalender(indikt). Alle heiligen van Sarov, alle heiligen van Nizni Novgorod.','9:50[br]10:30','Biecht(tot de Evangelie lezing)[br]Liturgie'
14,'Maandag','Schoonmaak dag in de kerk. Iedereen is welkom. Gezamenlijke maaltijd. Spreekuur met de priester(v. Anatoli).','10:00-15:00','Schoonmaak'
16,'Woensdag','De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00','Kerk open'
20,'Vrijdag','De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00[br]15:00','Kerk open[br]Biecht'
21,'Zaterdag','Vooravond van zondag. ,[b,blue:voorfeest van Geboorte van onze Lieve Allerheilige Vrouwe Moeder Gods en Altijd Maagd Maria.]','10:30','Vigilie'
20,'Zondag','15e zondag na Pinksteren, zondag voor Kruisverheffing. 6e toon.[br][b,blue:Geboorte van onze Lieve Allerheilige Vrouwe Moeder Gods en Altijd Maagd Maria.]','9:50[br]10:30','Biecht(tot de Evangelie lezing)[br]Liturgie'
22,'Maandag','Schoonmaak dag in de kerk. Iedereen is welkom. Gezamenlijke maaltijd. Spreekuur met de priester ( v. Anatoli).','10:00-15:00','Schoonmaak'
24,'Woensdag','De kerk van Alexander Nevski is geopend voor gebed.','11:00-15:00','Kerk open'
26,'Vrijdag','De kerk van Alexander Nevski is geopend voor gebed.[br]Vigilie. Vooravond van Kruisverheffing.','11:00-15:00[br]15:00','Kerk open[br]Biecht'
27,'Zaterdag','Vooravond van zondag.','15:00[br]17:30','Biecht[br]Vigilie'
28,'Zondag','17e zondag na Pinksteren[b,red:.][br][b,red:Wereldse Verheffing v. d. Levendmakende Eerwaardige Houten Kruis v.d. Heer.]7e toon.','9:50[br]10:30','Biecht(tot de Evangelie lezing)[br]Liturgie'
29,'Maandag','Schoonmaak dag in de kerk. Iedereen is welkom. Gezamenlijke maaltijd.Spreekuur met de priester ( v. Anatoli).','10:00-15:00','Schoonmaak'
